NOM;ANNEE;FDis;FDiv;FEve;FRic;FGR-6;gr1;gr2;gr3;gr4;gr5;gr6;RaoQ;sing;nbsp;forag;diet;nest;migr;date;home;eggs;mass;AEGCAU;ALAARV;ALERUF;ANTTRI;CARCAN;CARCAR;CARCHL;CERBRA;CISJUN;COLPAL;COTCOT;CUCCAN;DENMAJ;DENMED;DENMIN;DRYMAR;EMBCIR;EMBCIT;ERIRUB;FRICOE;GARGLA;HIPPOL;JYNTOR;LANCOL;LULARB;LUSMEG;MERAPI;MILCAL;MOTALB;MOTFLA;MUSSTR;ORIORI;PARCAE;PARMAJ;PARPAL;PHACOL;PHYBON;PHYCOL;PICPIC;PICVIR;PRUMOD;PYRPYR;REGIGN;SAXTOR;SERSER;SITEUR;STRDEC;STRTUR;STUVUL;SYLATR;SYLBOR;SYLCOM;TROTRO;TURMER;TURPHI;TURVIS;UPUEPO
A34;1981;0.378773163665404;0.84181202691846;0.854498488891467;0.223547426350026;6;9;12;2;9;2;6;0.147666730336301;16;16;ground;mixed;ground;short;earlapr;small;4.7875;57.505;0;4;0;2;2;0;2;0;0;1;0;0;2;0;0;0;0;3;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;4;0;0
A35;1981;0.40941406875835;0.848066000696974;0.854871651379148;0.247996204084328;6;8;12;4;4;8;10;0.17022582278788;16;16;canopy;insect;tree;short;lateapr;mid;5.23913043478261;73.6;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;4;4;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0;4;4;4;2;2
A36;1981;0.377308629420914;0.69720469168244;0.814830949223852;0.223009249905268;5;8;16;4;0;2;4;0.150150790398937;11;11;under;mixed;ground;short;lateapr;small;5,00;37.3117647058824;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;6;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;6;2;2;0;0
A37;1981;0.372235259866496;0.77153521051687;0.822933889848068;0.0916055016443893;5;4;12;2;6;0;2;0.146841037698821;9;9;under;mixed;ground;short;lateapr;small;4.61538461538462;33.4461538461538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0
A38;1981;0.386299114952201;0.844290030279382;0.858825679290754;0.208986592007591;5;6;7;0;4;2;6;0.151973852788077;10;10;under;mixed;shrub;short;earlapr;small;5.06;63.54;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;2;4;2;0;0
A39;1981;0.391149544734166;0.79440271288542;0.881257069917025;0.145753759656156;6;12;12;4;2;2;4;0.1593690670865;11;11;canopy;mixed;ground;short;earlapr;small;5.94444444444444;44.2666666666667;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;4;0;0;2
A40;1981;0.347436883202522;0.774371492746598;0.802299050593798;0.156159779034076;5;14;8;6;6;0;2;0.126174511428245;12;12;ground;mixed;shrub;resid;may;small;4.66666666666667;27.9444444444444;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;4;2;2;0;0;0
A41;1981;0.374681333673953;0.803487141502429;0.819045584438162;0.209560384793728;5;13;10;6;6;0;6;0.146975110274628;15;15;ground;mixed;ground;resid;may;small;4.45121951219512;46.2926829268293;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;4;0;2;0;4;2;0;0
A42;1981;0.39672246695884;0.823943328721255;0.792530283615067;0.179766602402445;6;18;8;4;4;2;10;0.160287585334225;16;16;ground;mixed;shrub;resid;earlapr;small;5.6304347826087;87.0782608695652;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;6;0;2;0;0;2;0;0;0;0;4;0;0;0;0;2;4;0;0;0;6;0;0;2
A43;1981;0.386152341453892;0.849426314951976;0.890918463716022;0.247146854120727;6;6;8;8;4;2;2;0.15322668841111;13;13;ground;mixed;ground;short;may;small;4.6;52.42;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;2;2;0;0;0
