NOM;STATION;X;Y
A278;278;532313.354504;6240837.75551
A279;279;532812.614314;6240824.03204
A280;280;533311.87423;6240810.30865
A281;281;533811.133897;6240796.58534
A282;282;534310.393777;6240782.86158
A283;283;534809.653564;6240769.13742
A284;284;535308.91337;6240755.41307
A285;285;535808.173146;6240741.68855
A286;286;536806.692793;6240714.2392
A287;287;518320.467017;6240722.75477
A288;288;518819.723701;6240709.0356
A289;289;519318.980409;6240695.31675
A290;290;519818.237115;6240681.59772
A291;291;520317.49379;6240667.878
A292;292;520816.750457;6240654.15813
A293;293;521316.006644;6240640.43736
A294;294;521815.260731;6240626.71322
A295;295;522314.514839;6240612.98891
A296;296;522813.769027;6240599.26467
A297;297;523313.022944;6240585.54051
A298;298;523812.277104;6240571.81592
A299;299;524311.531169;6240558.0909
A300;300;524810.785228;6240544.36569
A301;301;525310.039307;6240530.64031
A302;302;525809.293382;6240516.91476
A303;303;526308.547511;6240503.18925
A304;304;526807.801395;6240489.46385
A305;305;527307.055545;6240475.738
A306;306;527806.309574;6240462.01173
A307;307;528305.563598;6240448.28527
A308;308;528804.817641;6240434.55863
A309;309;529304.071654;6240420.83181
A310;310;529803.330872;6240407.10909
A311;311;530302.590626;6240393.38709
A312;312;530801.850347;6240379.66491
A313;313;531301.110055;6240365.94205
A314;314;531800.369781;6240352.21902
A315;315;532299.629477;6240338.4958
A316;316;532798.889167;6240324.77242
A317;317;533298.148876;6240311.04885
A318;318;533797.408562;6240297.32562
A319;319;534296.668244;6240283.60218
A320;320;534795.927939;6240269.87808
A321;321;535295.187625;6240256.1538
A322;322;535794.44728;6240242.42934
A323;323;536293.706931;6240228.70472
A324;324;536792.966575;6240214.97991
A325;325;518806.007187;6240209.77795
A326;326;519305.263712;6240196.05884
A327;327;519804.519962;6240182.33983
A328;328;520303.776458;6240168.62035
A329;329;520803.032889;6240154.90047
A330;330;521302.288786;6240141.17966
A331;331;521801.542472;6240127.45539
A332;332;522300.796179;6240113.73094
A333;333;522800.049857;6240100.00633
A334;334;523299.303536;6240086.28202
A335;335;523798.557239;6240072.55753
A336;336;524297.810903;6240058.83236
A337;337;524797.064563;6240045.10703
A338;338;525296.318241;6240031.38151
A339;339;525795.571892;6240017.65582
A340;340;526294.825533;6240003.92993
A341;341;526794.079285;6239990.20412
A342;342;527293.332787;6239976.47839
A343;343;527792.586503;6239962.75222
A344;344;528291.840127;6239949.02563
A345;345;528791.093745;6239935.29886
A346;346;529290.347357;6239921.5719
A347;347;529789.60645;6239907.84921
A348;348;530288.866161;6239894.12703
A349;349;530788.125597;6239880.40492
A350;350;531287.385273;6239866.68239
A351;351;531786.644855;6239852.95944
A352;352;532285.904432;6239839.23629
A353;353;532785.164025;6239825.51297
A354;354;533284.423615;6239811.78947
A355;355;533783.683259;6239798.06604
A356;356;534282.942656;6239784.3427
A357;357;534782.202294;6239770.61893
A358;358;535281.461836;6239756.89471
A359;359;535780.721396;6239743.17033
A360;360;536279.980951;6239729.44577
A361;361;536779.240475;6239715.72101
A362;362;518293.034495;6239724.23964
A363;363;518792.290678;6239710.52047
A364;364;519291.546856;6239696.80112
A365;365;519790.803087;6239683.08182
A366;366;520290.059072;6239669.36263
A367;367;520789.3153;6239655.64299
A368;368;521288.57091;6239641.92215
A369;369;521787.82422;6239628.19774
A370;370;522287.077525;6239614.47315
A371;371;522786.330801;6239600.74838
A372;372;523285.584158;6239587.02369
A373;373;523784.837266;6239573.29908
A374;374;524284.090619;6239559.57401
A375;375;524783.343904;6239545.84854
A376;376;525282.597182;6239532.12288
A377;377;525781.850429;6239518.39703
A378;378;526281.103672;6239504.67102
A379;379;526780.35691;6239490.94483
A380;380;527279.61015;6239477.21895
A381;381;527778.863412;6239463.4929
A382;382;528278.116661;6239449.76616
A383;383;528777.369878;6239436.03924
A384;384;529276.62309;6239422.31215
A385;385;529775.882008;6239408.58952
A386;386;530275.141487;6239394.86716
A387;387;530774.400992;6239381.14512
A388;388;531273.660494;6239367.4229
A389;389;531772.919959;6239353.70001
A390;390;532272.179416;6239339.97694
A391;391;532771.438867;6239326.2537
A392;392;533270.698311;6239312.53027
A393;393;533769.957775;6239298.80667
A394;394;534269.217322;6239285.08313
A395;395;534768.476591;6239271.35967
A396;396;535267.736102;6239257.63579
A397;397;535766.995518;6239243.91149
A398;398;536266.254928;6239230.18699
A399;399;536765.514358;6239216.46232
A400;400;537264.773781;6239202.73746
A401;401;518279.318256;6239224.98234
A402;402;518778.574151;6239211.26318
A403;403;519277.83004;6239197.54381
A404;404;519777.085949;6239183.82427
A405;405;520276.341857;6239170.10506
A406;406;520775.597738;6239156.38566
A407;407;521274.853061;6239142.66481
A408;408;521774.105948;6239128.94027
A409;409;522273.358828;6239115.21553
A410;410;522772.611728;6239101.49063
A411;411;523271.864623;6239087.76555
A412;412;523771.117574;6239074.04052
A413;413;524270.370279;6239060.31559
A414;414;524769.623227;6239046.59023
A415;415;525268.876078;6239032.86442
A416;416;525768.12895;6239019.13844
A417;417;526267.381817;6239005.41228
A418;418;526766.634653;6238991.68594
A419;419;527265.887571;6238977.95968
A420;420;527765.140239;6238964.2335
A421;421;528264.393149;6238950.50686
A422;422;528763.645994;6238936.77981
A423;423;529262.89883;6238923.05258
A424;424;529762.157597;6238909.32998
A425;425;530261.416955;6238895.6077
A426;426;530760.67642;6238881.88548
